timestamp,current_position,target_position,error,effort
1775638124629891613,0.1795,0.1800,0.0005,-97.5261
1775638124631386817,0.1795,0.1800,0.0005,-97.5261
1775638124632866571,0.1795,0.1800,0.0005,-97.5261
1775638124634499582,0.1795,0.1800,0.0005,-97.5261
1775638124635877640,0.1795,0.1800,0.0005,-97.5261
1775638124637233324,0.1795,0.1800,0.0005,-97.5261
1775638124639098283,0.1795,0.1800,0.0005,-97.5261
1775638124640732540,0.1795,0.1800,0.0005,-97.5261
1775638124642573136,0.1795,0.1800,0.0005,-97.5261
1775638124644719453,0.1795,0.1800,0.0005,-97.5261
1775638124646422607,0.1795,0.1800,0.0005,-97.5261
1775638124648385228,0.1795,0.1800,0.0005,-97.5261
1775638124650034935,0.1795,0.1800,0.0005,-97.5261
1775638124651643383,0.1795,0.1800,0.0005,-97.5261
1775638124653543859,0.1795,0.1800,0.0005,-97.5261
1775638124655358300,0.1795,0.1800,0.0005,-97.5261
1775638124657007321,0.1795,0.1800,0.0005,-97.5261
1775638124658543949,0.1795,0.1800,0.0005,-97.5261
1775638124660565060,0.1795,0.1800,0.0005,-97.5261
1775638124662163315,0.1795,0.1800,0.0005,-97.5261
1775638124663606288,0.1795,0.1800,0.0005,-97.5261
1775638124665069685,0.1795,0.1800,0.0005,-97.5261
1775638124666425873,0.1795,0.1800,0.0005,-97.5261
1775638124667886421,0.1795,0.1800,0.0005,-97.5261
1775638124669450982,0.1795,0.1800,0.0005,-97.5261
1775638124671228038,0.1795,0.1800,0.0005,-97.5261
1775638124672949172,0.1795,0.1800,0.0005,-97.5261
1775638124674439165,0.1795,0.1800,0.0005,-97.5261
1775638124675949041,0.1795,0.1800,0.0005,-97.5261
1775638124677712002,0.1795,0.1800,0.0005,-97.5261
1775638124679565797,0.1795,0.1800,0.0005,-97.5261
1775638124681131709,0.1795,0.1800,0.0005,-97.5261
1775638124682747709,0.1795,0.1800,0.0005,-97.5261
1775638124684227774,0.1795,0.1800,0.0005,-97.5261
1775638124685672533,0.1795,0.1800,0.0005,-97.5261
1775638124687412276,0.1795,0.1800,0.0005,-97.5261
1775638124689180091,0.1795,0.1800,0.0005,-97.5261
1775638124691112851,0.1795,0.1800,0.0005,-97.5261
1775638124692538287,0.1795,0.1800,0.0005,-97.5261
1775638124693976259,0.1795,0.1800,0.0005,-97.5261
1775638124695660513,0.1795,0.1800,0.0005,-97.5261
1775638124697360528,0.1795,0.1800,0.0005,-97.5261
1775638124698773187,0.1795,0.1800,0.0005,-97.5261
1775638124700368323,0.1795,0.1800,0.0005,-97.5261
